Name of Monitoring Station,Year,Sampling Month,pH,BOD (mg/L),COD (mg/L),Total Dissolved Solids,Total Coliform (MPN/100),Latitude,Longitude
Nallurahalli Lake,2025,September,7.0,64.0,228.0,628.0,2200.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2025,September,7.5,14.0,136.0,978.0,1700.0,12.97655779,77.74570003
Seetharampalya Lake,2025,September,7.6,13.0,132.0,836.0,2100.0,12.98248112,77.71330594
Devasandra Lake,2025,September,7.0,23.0,164.0,310.0,4300.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2025,September,7.5,6.0,68.0,532.0,5400.0,12.96463102,77.74265937
Doddakannehalli Lake,2025,September,8.0,7.0,76.0,340.0,3500.0,12.91183624,77.6928301
Kasavanahalli Lake,2025,September,7.8,6.0,68.0,350.0,2200.0,12.90544792,77.66897823
Rayasandra Lake,2025,September,7.2,21.0,144.0,1016.0,4300.0,12.87037689,77.6779843
Chandapura Lake,2025,September,7.2,9.0,100.0,1214.0,3500.0,12.80573568,77.70537996
Ullalu Lake,2025,September,6.7,5.0,52.0,144.0,1300.0,12.9609124,77.4804805
Sompura Lake,2025,September,8.2,6.0,56.0,378.0,2400.0,12.87447508,77.49860778
Gubbalal Lake,2025,September,6.7,5.0,64.0,150.0,1700.0,12.88094395,77.54067908
Hosakerehalli Lake,2025,September,6.5,69.0,356.0,426.0,490000.0,12.92636311,77.53384359
Chinnakurchi Kere,2025,September,7.3,5.0,52.0,118.0,3500.0,12.82129367,77.46615876
Machohalli Lake,2025,September,7.5,5.0,46.0,1300.0,4800000.0,13.01318643,77.4546073
Doddabidarakallu Lake,2025,September,7.2,5.0,56.0,270.0,17000.0,13.04339075,77.49562264
Kammagondanahalli Lake,2025,September,7.0,4.0,45.0,248.0,46.0,13.06872462,77.52323601
Alur Lake,2025,September,7.1,4.0,40.0,236.0,1700.0,13.09743325,77.45848496
Basavanapura Lake,2025,September,7.3,4.0,44.0,292.0,1600.0,12.84453538,77.58927218
Kodi Singasandra Lake,2025,September,7.2,5.0,52.0,238.0,1200.0,12.88226483,77.6455833
Kothanuru Lake,2025,September,7.1,8.0,80.0,336.0,2400.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2025,September,8.2,7.0,80.0,336.0,220.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2025,September,8.1,16.0,112.0,1096.0,49000000.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",2025,September,6.6,5.0,42.0,300.0,17000.0,13.058,77.518
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2025,September,7.5,12.0,124.0,982.0,46000.0,12.987,77.737
"Munekolalu Lake ,Marathahalli, East Taluka ,Bengaluru",2025,September,7.3,11.0,116.0,824.0,2400.0,12.944934,77.326866
"Mahadevpuraã¢  Lake, K. R. Puram , Bangalore East Taluka",2025,September,8.5,9.0,96.0,260.0,2200.0,13.145846,77.539939
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2025,September,7.4,30.0,178.0,640.0,46000.0,13.00219,77.568202
"Kannamangala Lake Hoskote Main Road , Bengalore",2025,September,7.2,6.0,72.0,434.0,4300.0,13.02935241,77.77426959
Kannur Lake Near By Hennur Road Bengalore,2025,September,8.5,204.0,680.0,3966.0,240.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",2025,September,7.2,7.0,78.0,240.0,2200.0,13.157951,77.308113
"Doddakallasandra Lake,Bengaluru",2025,September,7.5,4.0,40.0,230.0,2400.0,12.88228955,77.56127506
"Ulsoor Lake Near Kalyani,Bengaluru",2025,September,7.7,23.0,152.0,292.0,6300.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2025,September,7.3,4.0,48.0,438.0,2200.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2025,September,7.9,5.0,64.0,338.0,1700.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2025,September,8.2,16.0,152.0,582.0,3500.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu Vill ,Bengaluru",2025,September,8.1,7.0,80.0,520.0,7000.0,12.89682592,77.6551178
"Doddathogur Lake , Doddathoguru Vill,Bengaluru",2025,September,7.2,8.0,88.0,492.0,2400.0,12.85689657,77.65979422
"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",2025,September,7.4,4.0,40.0,232.0,2800.0,12.86550272,77.56632056
"Chunchaghatta Lake, Chunchaghatta Phase 7, J P Nagar, Bengaluru",2025,September,6.6,6.0,64.0,530.0,2100.0,13.116651,77.431267
"Kembhatahali Lake-66, Kothannur, 1St Phase , Bengaluru",2025,September,6.9,7.0,76.0,230.0,1100.0,13.029691,77.352224
"Doddakammanahalli Lake, Doddakammanahalli Phase2, Tejaswini Nagar",2025,September,6.6,6.0,56.0,532.0,1700.0,13.098561,77.468531
"Basspura Lake, Aishwarya Crystal Layout, Begur, Bengaluru",2025,September,7.1,5.0,56.0,236.0,2800.0,13.021228,77.532172
"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr Layout Bengaluru",2025,September,6.6,7.0,68.0,326.0,4300.0,12.925467,77.530403
"Bhoganhalli Lake, Bhoganhalli,, Bengaluru",2025,September,8.0,5.0,48.0,356.0,1700.0,12.92297445,77.69935186
"Parappana Agrahara Chikka Kere, Near Central Jail, Sai Sree Layout Parappana Agrahara,",2025,September,8.2,4.0,44.0,382.0,9400.0,12.882196,77.490474
"Vittasandra Lake, Vittasandra,",2025,September,7.4,9.0,96.0,496.0,2800.0,12.85804363,77.62274884
"Akshyanagara Lake, Akshyanagara West, Bengaluru",2025,September,8.0,4.0,48.0,398.0,150.0,12.87179,77.614335
"Yallenahalli Lake, Begur-Koppa Rd, Akshayanagara, Bengaluru",2025,September,8.0,4.0,48.0,408.0,540.0,12.87089,77.484885
Doddagubbi Lake,2025,September,8.5,72.0,240.0,2060.0,280.0,13.0744063,77.67245104
Chikkagubi Lake,2025,September,8.5,216.0,752.0,4836.0,350.0,13.07683052,77.673996
Vijanapura Lake,2025,September,7.4,7.0,68.0,232.0,3500.0,13.00925,77.676796
Cheemasandra,2025,September,6.5,54.0,296.0,726.0,7000.0,13.06569,77.723786
Leghumenahalli Lake,2025,September,7.4,8.0,92.0,230.0,2800.0,13.01979254,77.46222486
Varanasi Lake,2025,September,7.4,4.0,44.0,182.0,2200.0,13.026885,77.68704005
Gangashetty Lake,2025,September,7.0,7.0,68.0,486.0,5400.0,13.01873035,77.69881133
Panathur Lake,2025,September,7.0,37.0,192.0,930.0,9400.0,12.9321787,77.70710816
Garudacharpalya Lake-2,2025,September,8.5,10.0,96.0,300.0,7900.0,12.990651,77.69604
Mahadevapura Lake-2,2025,September,7.2,9.0,84.0,164.0,2800.0,12.987222,77.69263918
B- Narayannapura Lake-2,2025,September,8.5,22.0,156.0,246.0,3500.0,12.996508,77.6827584
Halnayakanahalli Lake,2025,September,7.3,6.0,72.0,476.0,2100.0,12.89981,77.691348
Ulsoor Lake Training Centre Of Fish Breeding,2025,October,8.2,8.0,92.0,260.0,17000.0,12.9825,77.6191
Madiwala Tank,2025,October,8.1,5.0,56.0,544.0,2400.0,12.9734,77.3444
Lalbagh Tank,2025,October,8.2,5.0,56.0,320.0,3500.0,12.9069,77.6161
Kempambudhi Tank,2025,October,6.5,24.0,152.0,258.0,9400.0,12.9507,77.5844
Yediyur Tank,2025,October,6.6,4.0,40.0,210.0,1700.0,12.9575,77.5645
Ulsoor Lake Temple,2025,October,8.2,7.0,64.0,228.0,13000.0,12.9288,77.5794
Sankey Tank,2025,October,7.2,4.0,40.0,394.0,2400.0,12.982,77.621
Byrasandra Tank,2025,October,7.0,18.0,124.0,286.0,4300.0,13.0064,77.5755
Nayandanahalli Tank,2025,October,7.6,15.0,108.0,428.0,9200.0,13.1162,77.5759
Hesaraghatta Lake,2025,October,7.0,4.0,40.0,264.0,1600.0,13.0415,77.6152
Herohalli Tank,2025,October,6.5,22.0,168.0,468.0,2100.0,13.1368,77.4851
Anchepalya Lake,2025,October,6.5,18.0,136.0,320.0,5400.0,13.0012,77.4842
Shivapura Tank,2025,October,6.8,8.0,88.0,390.0,7000.0,13.0456,77.4828
Karihobanahalli Lake,2025,October,6.7,7.0,80.0,524.0,3500.0,13.0294,77.5147
Bellandur Lake,2025,October,7.9,8.0,96.0,350.0,2800.0,13.0189,77.4912
Vengaiyyanakere( Kr Puram Lake ),2025,October,6.8,18.0,124.0,572.0,4300.0,13.01632597,77.6999225
Doddanekkundi Lake,2025,October,6.5,4.0,44.0,140.0,15000.0,13.0062,77.6811
Yelemallappa Shetty Lake,2025,October,6.6,6.0,76.0,476.0,9200.0,12.9714,77.6953
Dasarahalli Tank,2025,October,6.5,7.0,72.0,306.0,2100.0,13.0232,77.7288
Kalkere Tank,2025,October,7.2,39.0,216.0,682.0,1700.0,13.0435,77.5141
Varthur Lake,2025,October,7.0,6.0,68.0,330.0,1700.0,13.0287,77.6685
Ibbalur Lake,2025,October,8.3,8.0,92.0,538.0,3500.0,12.922,77.666
Tubarahalli Tank,2025,October,7.3,40.0,136.0,818.0,3500.0,12.958187,77.725785
Kaikondanahalli Lake,2025,October,8.3,8.0,92.0,534.0,2400.0,12.91627,77.737065
Agaram Lake,2025,October,7.9,6.0,64.0,546.0,2200.0,12.921,77.641
Gottigere Lake,2025,October,7.2,6.0,56.0,262.0,2200.0,12.8552,77.5878
Puttenahalli Lake,2025,October,6.9,8.0,76.0,204.0,3500.0,12.8985,77.5849
Puttenahalli Lake,2025,October,6.9,8.0,76.0,204.0,3500.0,12.89072263,77.5871604
Arakere Lake,2025,October,7.1,7.0,72.0,714.0,5400.0,12.8765,77.5991
Kalena Agrahara Lake,2025,October,7.0,4.0,40.0,298.0,7000.0,12.8624,77.5956
Hulimavu Lake,2025,October,7.2,6.0,64.0,712.0,2800.0,12.8775,77.5912
Singasandra Lake,2025,October,6.7,4.0,44.0,466.0,2400.0,12.8872,77.6493
Begur Tank,2025,October,7.1,5.0,48.0,468.0,3500.0,12.8814,77.6325
Parappana Agrahara Lake,2025,October,7.0,5.0,56.0,694.0,170000.0,12.8879,77.6591
Haralur Lake,2025,October,7.1,14.0,116.0,514.0,4300.0,12.89829,77.66142
Somasundrapalya Lake,2025,October,7.6,5.0,52.0,622.0,1700.0,12.89872064,77.64800365
Anekal Doddakere Tank,2025,October,6.9,7.0,68.0,938.0,12000.0,12.87466479,77.78340625
Puttenahalli Lake,2025,October,6.5,29.0,208.0,532.0,5400.0,12.8985,77.5849
Puttenahalli Lake,2025,October,6.5,29.0,208.0,532.0,5400.0,12.89072263,77.5871604
Hebbal Lake,2025,October,8.0,7.0,76.0,302.0,3500.0,13.04697661,77.58600905
Nagavara Lake,2025,October,6.8,6.0,56.0,270.0,2400.0,13.0449046,77.60895858
Jakkur Lake,2025,October,8.5,4.0,44.0,338.0,2800.0,13.08770697,77.61004718
Amruthahalli Lake,2025,October,7.3,4.0,48.0,242.0,5400.0,13.06138758,77.5987903
Allalasandra Lake,2025,October,8.5,5.0,48.0,340.0,2200.0,13.09078569,77.58580537
Yelahanka Tank,2025,October,8.5,5.0,48.0,338.0,4300.0,13.0901,77.5925
Subramanyapura Tank,2025,October,6.7,4.0,48.0,338.0,2200.0,12.89668663,77.54331633
Devarakere Tank,2025,October,6.5,7.0,84.0,240.0,9400.0,12.89808367,77.5543472
Malathahalli Lake,2025,October,7.1,5.0,60.0,346.0,4300.0,12.96467512,77.49507669
Hoskere Lake,2025,October,6.5,16.0,120.0,222.0,2200.0,12.92672778,77.48054898
Yelachenahalli Lake,2025,October,7.9,4.0,48.0,238.0,2200.0,12.89926437,77.56547215
Kengeri Tank,2025,October,7.4,4.0,40.0,384.0,1600.0,12.91685922,77.48789417
Uttarahalli Doraikere,2025,October,6.5,4.0,44.0,140.0,15000.0,12.90305626,77.55084832
Dhorekere Tank,2025,October,6.5,96.0,436.0,242.0,70000.0,12.93017436,77.494945
Jigani Tank,2025,October,6.6,6.0,56.0,140.0,1700.0,12.79585704,77.63284772
Benniganahalli Lake,2025,October,7.0,7.0,76.0,330.0,5400.0,12.99772381,77.66545556
Mathikere Tank,2025,October,6.7,5.0,48.0,134.0,3500.0,13.00974799,77.5736474
Gangondanahalli Lake,2025,October,7.5,4.0,48.0,458.0,2400.0,12.99954081,77.4646815
Chikkabanavara Lake,2025,October,7.2,5.0,48.0,370.0,2200.0,13.08356016,77.50682992
Andhrahalli Lake,2025,October,6.6,16.0,112.0,374.0,2800.0,13.01026314,77.48646759
Kachohalli Lake,2025,October,6.7,26.0,184.0,884.0,79000.0,13.01365684,77.45596987
Sarakki Lake,2025,October,7.1,5.0,56.0,386.0,2800.0,12.89941681,77.57913342
Nelamangala Lake,2025,October,6.5,25.0,192.0,726.0,14000.0,13.08073442,77.40002615
Abbigere Lake,2025,October,6.9,6.0,64.0,422.0,3500.0,13.0791175,77.52872073
Chelekere Lake,2025,October,7.9,4.0,40.0,292.0,2100.0,13.02641201,77.6449817
Singapura Lake,2025,October,6.6,18.0,176.0,426.0,3500.0,13.08266187,77.53568704
Narasipura Lake,2025,October,6.8,6.0,60.0,210.0,3500.0,13.07260237,77.55884035
Rachenahalli Lake,2025,October,8.1,6.0,64.0,282.0,9200.0,13.06365337,77.61270948
Kogilu Kere,2025,October,6.7,7.0,72.0,352.0,1700.0,13.11015107,77.61852742
Viswaneedam Lake,2025,October,6.7,20.0,148.0,410.0,1500.0,12.98884671,77.49016012
Ramammana Kere,2025,October,6.6,6.0,60.0,846.0,4300.0,12.96089629,77.22799123
Sadaramangala Lake,2025,October,7.4,5.0,48.0,322.0,2200.0,12.99966199,77.72775764
Bhattarahalli Lake,2025,October,6.9,7.0,68.0,314.0,9200.0,13.02479566,77.7086534
Kundalahalli Lake,2025,October,7.4,24.0,196.0,842.0,11000.0,12.96854049,77.72057586
Kowdhenahalli Tank,2025,October,7.4,22.0,144.0,670.0,110000.0,13.02076247,77.67591701
Garudacharpalya Tank,2025,October,7.1,18.0,128.0,342.0,2400.0,12.99262062,77.69630153
Rampura Lake,2025,October,7.1,32.0,204.0,550.0,7000.0,13.04831239,77.69012069
Chinnappanahalli Lake,2025,October,8.5,6.0,60.0,792.0,2200.0,12.96611529,77.70675679
Devarabeesanahalli Lake,2025,October,7.9,8.0,96.0,348.0,2200.0,12.9231047,77.68715487
Vibhuthipura Lake,2025,October,8.0,8.0,76.0,348.0,2400.0,12.9683535,77.67578051
Nallurahalli Lake,2025,October,6.8,4.0,44.0,584.0,2400.0,12.97468741,77.7354134
Pattandur Agrahara Lake,2025,October,7.0,5.0,52.0,320.0,7000.0,12.97655779,77.74570003
Seetharampalya Lake,2025,October,6.6,28.0,164.0,584.0,21000.0,12.98248112,77.71330594
Devasandra Lake,2025,October,8.0,8.0,92.0,386.0,3500.0,13.00543793,77.69382235
Sheelavanta-Whitefield Lake,2025,October,6.8,4.0,44.0,266.0,2800.0,12.96463102,77.74265937
Doddakannehalli Lake,2025,October,7.2,8.0,88.0,692.0,4300.0,12.91183624,77.6928301
Kasavanahalli Lake,2025,October,7.8,7.0,72.0,542.0,3500.0,12.90544792,77.66897823
Rayasandra Lake,2025,October,7.0,29.0,172.0,940.0,2200.0,12.87037689,77.6779843
Chandapura Lake,2025,October,7.8,9.0,88.0,970.0,4300.0,12.80573568,77.70537996
Ullalu Lake,2025,October,7.2,6.0,64.0,148.0,3500.0,12.9609124,77.4804805
Sompura Lake,2025,October,7.3,4.0,44.0,286.0,3500.0,12.87447508,77.49860778
Gubbalal Lake,2025,October,6.5,5.0,48.0,154.0,5400.0,12.88094395,77.54067908
Hosakerehalli Lake,2025,October,6.5,19.0,180.0,284.0,2800.0,12.92636311,77.53384359
Chinnakurchi Kere,2025,October,6.9,5.0,48.0,180.0,4300.0,12.82129367,77.46615876
Machohalli Lake,2025,October,6.9,50.0,248.0,1266.0,17000.0,13.01318643,77.4546073
Doddabidarakallu Lake,2025,October,6.5,6.0,56.0,330.0,3500.0,13.04339075,77.49562264
Kammagondanahalli Lake,2025,October,6.7,19.0,140.0,258.0,9400.0,13.06872462,77.52323601
Alur Lake,2025,October,6.8,4.0,40.0,162.0,2400.0,13.09743325,77.45848496
Basavanapura Lake,2025,October,6.9,8.0,92.0,202.0,2400.0,12.84453538,77.58927218
Kodi Singasandra Lake,2025,October,7.1,6.0,56.0,466.0,4300.0,12.88226483,77.6455833
Kothanuru Lake,2025,October,7.0,4.0,48.0,308.0,7900.0,12.87403308,77.58000279
Mangamanapalya Lake(Swarana Kunte),2025,October,7.0,4.0,40.0,466.0,2400.0,12.90269634,7.639448243
"Kannahalli Lake Kannahalli, Bengaluru",2025,October,6.6,28.0,200.0,812.0,2400.0,12.96824687,77.46185005
"Shettihalli Lake, Mallasandra Gudde Lake Bengaluru",2025,October,6.7,66.0,224.0,388.0,15000.0,13.058,77.518
"Hoodi (Rajapalya Lake) Itpl Main Road, Near Hoodi,Bengaluru",2025,October,7.3,7.0,72.0,522.0,9400.0,12.987,77.737
"Munekolalu Lake ,Marathahalli, East Taluka
,Bengaluru",2025,October,7.2,13.0,124.0,822.0,2400.0,13.079491,77.392204
"Mahadevpuraã¢  Lake, K. R. Puram , Bangalore East Taluka",2025,October,8.5,4.0,48.0,275.0,3500.0,13.002092,77.578849
"Segehalli Lake Baavanapura Road Battarahalli , Bangalore East",2025,October,8.4,6.0,56.0,314.0,2800.0,13.065172,77.548793
"Kannamangala Lake Hoskote Main Road , Bengalore",2025,October,7.8,18.0,152.0,2068.0,2800.0,13.02935241,77.77426959
Kannur Lake Near By Hennur Road Bengalore,2025,October,8.0,44.0,232.0,3704.0,7900.0,13.1032445,77.66119409
"Basavanapura Lake Ayyappa Nagr Main Road , K. R. Puram , Bengaluru",2025,October,8.2,4.0,48.0,260.0,2100.0,12.883741,77.340526
"Doddakallasandra Lake,Bengaluru",2025,October,7.7,5.4,63.0,454.0,5400.0,12.88228955,77.56127506
"Ulsoor Lake Near Kalyani,Bengaluru",2025,October,8.2,7.0,88.0,262.0,14000.0,12.98288947,77.62094479
"Byrasandra Upper Lake,Bengaluru",2025,October,6.8,27.0,192.0,334.0,3500.0,12.93065731,77.59565712
"Soulkere, Kaikondrahalli Vill,Bengaluru",2025,October,7.0,4.0,48.0,512.0,2800.0,12.91856038,77.68025593
"Kudlu Doddakere, Kudlu Vill,Bengaluru",2025,October,7.1,15.0,124.0,516.0,5400.0,12.88376503,77.66439049
"Kudlu Chikkakere, Bgp Layout Kudlu Vill
,Bengaluru",2025,October,7.0,16.0,132.0,512.0,920.0,13.141378,77.367218
"Doddathogur Lake , Doddathoguru Vill,Bengaluru",2025,October,7.4,6.0,80.0,360.0,1500.0,12.85689657,77.65979422
"Anjanapura Lake ( Avala Halli Lake) Anjanapura,Bengaluru",2025,October,6.9,4.0,48.0,306.0,350.0,12.86550272,77.56632056
"Chunchaghatta Lake, Chunchaghatta Phase 7, J P Nagar, Bengaluru",2025,October,7.7,5.0,48.0,454.0,1700.0,13.000576,77.353576
"Kembhatahali Lake-66, Kothannur, 1St Phase , Bengaluru",2025,October,7.6,6.0,68.0,456.0,3500.0,13.046886,77.46197
"Doddakammanahalli Lake, Doddakammanahalli Phase2, Tejaswini",2025,October,7.0,4.0,40.0,720.0,3500.0,13.123415,77.596664
"Basspura Lake, Aishwarya Crystal Layout, Begur, Bengaluru",2025,October,7.0,7.0,76.0,472.0,2100.0,13.138721,77.338652
"Lower Amblipura Lake, Pwd Quarters,1St Sector, Hsr Layout Bengaluru",2025,October,7.6,5.0,47.0,366.0,4300.0,12.828798,77.576339
"Bhoganhalli Lake, Bhoganhalli,, Bengaluru",2025,October,7.5,4.0,40.0,542.0,3500.0,12.92297445,77.69935186
